กอ	k ɔː
เข้าใจ	kʰ a w 2 . t͡ɕ a j
นมแมว	n o m . m ɛː w
ระยะห่าง	r a 3 . j a 3 . h aː ŋ 1
สังคมนิยม	s a ŋ 4 . kʰ o m . n i 3 . j o m
มิ.ย.	m i 3 . j ɔː
นักท่องเที่ยว	n a k̚ 3 . tʰ ɔ ŋ 2 . tʰ i a̯ w 2
เพลง	pʰ l eː ŋ
เล่นเพื่อน	l e n 2 . pʰ ɯ a̯ n 2
ช่อง	t͡ɕʰ ɔ ŋ 2
ละครสัตว์	l a 3 . kʰ ɔː n . s a t̚ 1
อภิรัฐมนตรี	ʔ a 1 . pʰ i 3 . r a t̚ 3 . tʰ a 1 . m o n . t r iː
โกศ	k oː t̚ 1
ฟินแลนด์	f i n . l ɛː n
พราก	pʰ r aː k̚ 2
ช้อนชา	t͡ɕʰ ɔː n 3 . t͡ɕʰ aː
อกไหม้ไส้ขม	ʔ o k̚ 1 . m a j 2 . s a j 2 . kʰ o m 4
หัวขี้เลื่อย	h u a̯ 4 . kʰ iː 2 . l ɯ a̯ j 2
ป้ายสี	p aː j 2 . s iː 4
อธิการบดี	ʔ a 1 . tʰ i 3 . k aː n . b ɔː . d iː
ปลอบ	p l ɔː p̚ 1
เม่นทะเล	m e n 2 . tʰ a 3 . l eː
โรคพิษสุราเรื้อรัง	r oː k̚ 2 . pʰ i t̚ 3 . s u 1 . r aː . r ɯ a̯ 3 . r a ŋ
โกตดิวัวร์	k oː t̚ 3 . d i 1 . w u a̯
ต.ค.	t ɔː . kʰ ɔː
กว้าง	k w aː ŋ 2
คณะรัฐมนตรี	kʰ a 3 . n a 3 . r a t̚ 3 . tʰ a 1 . m o n . t r iː
ปาล์ม	p aː m
เผด็จการ	pʰ a 1 . d e t̚ 1 . k aː n
เศรษฐินี	s eː t̚ 1 . tʰ i 1 . n iː
กฤตยฎีกา	k r i t̚ 1 . t a 1 . j a 3 . d iː . k aː
โจร	t͡ɕ oː n
ประสาท	p r a 1 . s aː t̚ 1
มติชน	m a 3 . t i 1 . t͡ɕʰ o n
แผลง	pʰ l ɛː ŋ 4
มอดูล	m ɔː . d uː n
จักรพรรดิ	t͡ɕ a k̚ 1 . k r a 1 . pʰ a t̚ 3
จัดแจง	t͡ɕ a t̚ 1 . t͡ɕ ɛː ŋ
หลุมพราง	l u m 4 . pʰ r aː ŋ
เป้า	p a w 2
ประชาพิจารณ์	p r a 1 . t͡ɕʰ aː . pʰ i 3 . t͡ɕ aː n
ความเร็ว	kʰ w aː m . r e w
นักปฏิวัติ	n a k̚ 3 . p a 1 . t i 1 . w a t̚ 3
ลูบ	l uː p̚ 2
ฉาก	t͡ɕʰ aː k̚ 1
เคนทักกี	kʰ e n . tʰ a k̚ 3 . k iː 2
ฝ่อ	f ɔː 1
เพียง	pʰ i a̯ ŋ
โศภิต	s oː 4 . pʰ i t̚ 3
หยิบ	j i p̚ 1
พลศาสตร์	pʰ o n . l a 3 . s aː t̚ 1
หุ้ม	h u m 2
อหิ	ʔ a 1 . h i ʔ 1
กษัตรี	k a 1 . s a t̚ 1 . t r iː
ต้าน	t aː n 2
เครื่องดูดฝุ่น	kʰ r ɯ a̯ ŋ 2 . d uː t̚ 1 . f u n 1
อวตาร	ʔ a 1 . w a 3 . t aː n
ทารก	tʰ aː . r o k̚ 3
มหัศจรรย์	m a 3 . h a t̚ 1 . s a 1 . t͡ɕ a n
อายุ	ʔ aː . j u ʔ 3
ประสูติ	p r a 1 . s uː t̚ 1
อัฟกานิสถาน	ʔ a f 3 . k aː . n i s 3 . tʰ aː n 4
กล่าว	k l aː w 1
โอ๊ก	ʔ oː k̚ 3
สิ่งปฏิกูล	s i ŋ 1 . p a 1 . t i 1 . k uː n
นักการตลาด	n a k̚ 3 . k aː n . t a 1 . l aː t̚ 1
สะสวย	s a 1 . s u a̯ j 4
นึ่ง	n ɯ ŋ 2
ในหลวง	n a j . l u a̯ ŋ 4
ฮอนดูรัส	h ɔ n . d uː . r a s 3
สาบ	s aː p̚ 1
ยอ	j ɔː
มึง	m ɯ ŋ
โน้มน้าว	n oː m 3 . n aː w 3
แพะ	pʰ ɛ ʔ 3
การก่อการร้าย	k aː n . k ɔː 1 . k aː n . r aː j 3
ถ่าง	tʰ aː ŋ 1
กทม.	k ɔː . tʰ ɔː . m ɔː
กระบี่กระบอง	k r a 1 . b iː 1 . k r a 1 . b ɔː ŋ
รับรู้	r a p̚ 3 . r uː 3
สุภาพบุรุษ	s u 1 . pʰ aː p̚ 2 . b u 1 . r u t̚ 1
หลักการ	l a k̚ 1 . k aː n
เท่ห์	tʰ eː 2
ขลิบ	kʰ l i p̚ 1
ระเบิดปรมาณู	r a 3 . b ɤː t̚ 1 . p a 1 . r a 3 . m aː . n uː
สกรรมกริยา	s a 1 . k a m . k r i 1 . j aː
ศรี	s iː 4
กั้น	k a n 2
ราชครู	r aː t̚ 2 . t͡ɕʰ a 3 . kʰ r uː
ปิดทองหลังพระ	p i t̚ 1 . tʰ ɔː ŋ . l a ŋ 4 . pʰ r a ʔ 3
วอน	w ɔː n
สะกดจิต	s a 1 . k o t̚ 1 . t͡ɕ i t̚ 1
สนิม	s a 1 . n i m 4
ค้า	kʰ aː 3
โน่น	n oː n 2
แจว	t͡ɕ ɛː w
หัวโขน	h u a̯ 4 . kʰ oː n 4
เขียง	kʰ i a̯ ŋ 4
ราชพฤกษ์	r aː t̚ 2 . t͡ɕʰ a 3 . pʰ r ɯ k̚ 3
ลำบาก	l a m . b aː k̚ 1
กาบหอยแครง	k aː p̚ 1 . h ɔ j 4 . kʰ r ɛː ŋ
ร่วม	r u a̯ m 2
ชัลลุกา	t͡ɕʰ a n . l u 3 . k aː
ทน	tʰ o n
ประทาน	p r a 1 . tʰ aː n
ไอออน	ʔ a j . ʔ ɔ n 2
เช้ามืด	t͡ɕʰ aː w 3 . m ɯː t̚ 2
ซื่อ	s ɯː 2
ดับเบิลยู	d a p̚ 1 . b ɤ l 2 . j uː
อุษา	ʔ u 1 . s aː 4
ราชินี	r aː . t͡ɕʰ i 3 . n iː
เรื่องสั้น	r ɯ a̯ ŋ 2 . s a n 2
ดุสิต	d u 1 . s i t̚ 1
มาบ	m aː p̚ 2
เภท	pʰ eː t̚ 2
แอล	ʔ ɛː l
ฟาสซิสต์	f aː t̚ 3 . s i t̚ 3
อาร์	ʔ aː
เว้นแต่	w e n 3 . t ɛː 1
ยอดเยี่ยม	j ɔː t̚ 2 . j i a̯ m 2
อาชา	ʔ aː . t͡ɕʰ aː
กันยา	k a n . j aː
สถิติศาสตร์	s a 1 . tʰ i 1 . t i 1 . s aː t̚ 1
หยาบคาย	j aː p̚ 1 . kʰ aː j
เบี่ยง	b i a̯ ŋ 1
ทุเรศ	tʰ u 3 . r eː t̚ 2
ทับทิม	tʰ a p̚ 3 . tʰ i m
โรงเรียน	r oː ŋ . r i a̯ n
วินาที	w i 3 . n aː . tʰ iː
สอดรู้สอดเห็น	s ɔː t̚ 1 . r uː 3 . s ɔː t̚ 1 . h e n 4
กร่อย	k r ɔ j 1
เทียบ	tʰ i a̯ p̚ 2
นักกีฬา	n a k̚ 3 . k iː . l aː
รับผิดชอบ	r a p̚ 3 . pʰ i t̚ 1 . t͡ɕʰ ɔː p̚ 2
ครอบ	kʰ r ɔː p̚ 2
ขอร้อง	kʰ ɔː 4 . r ɔː ŋ 3
โทรโข่ง	tʰ oː . r a 3 . kʰ oː ŋ 1
วานิลลา	w a 3 . n i 3 . l aː
อสรพิษ	ʔ a 1 . s ɔː 4 . r a 3 . pʰ i t̚ 3
ฝรั่ง	f a 1 . r a ŋ 1
หน่วยก้าน	n u a̯ j 1 . k aː n 2
เปลือย	p l ɯ a̯ j
อิหร่าน	ʔ i 1 . r aː n 1
ปกครอง	p o k̚ 1 . kʰ r ɔː ŋ
ผักชีโรยหน้า	pʰ a k̚ 1 . t͡ɕʰ iː . r oː j . n aː 2
ทอดผ้าป่า	tʰ ɔː t̚ 2 . pʰ aː 2 . p aː 1
อดุลยเดช	ʔ a 1 . d u n . j a 3 . d eː t̚ 1
แคะ	kʰ ɛ ʔ 3
รูปหล่อ	r uː p̚ 2 . l ɔː 1
นิวตรอน	n i w . t r ɔ n
ตปท.	t ɔː . p ɔː . tʰ ɔː
ก้น	k o n 2
กระโดดร่ม	k r a 1 . d oː t̚ 1 . r o m 2
นร	n ɔː . r a 3 . 
ทับถม	tʰ a p̚ 3 . tʰ o m 4
อาวัล	ʔ aː . w a n
แกร่ง	k r ɛ ŋ 1
พิรุธ	pʰ i 3 . r u t̚ 3
ก้าง	k aː ŋ 2
สัมภาระ	s a m 4 . pʰ aː . r a ʔ 3
เขียว	kʰ i a̯ w 4
วัยเด็ก	w a j . d e k̚ 1
วิบัติ	w i 3 . b a t̚ 1
การแทรก	k aː n . s ɛː k̚ 2
มวย	m u a̯ j
สันติ	s a n 4 . t i ʔ 1
หักโหม	h a k̚ 1 . h oː m 4
อิริเดียม	ʔ i 1 . r i 3 . d i a̯ m 2
ฮีเลียม	h iː . l i a̯ m 2
ทะลุทะลวง	tʰ a 3 . l u 3 . tʰ a 3 . l u a̯ ŋ
หลืบ	l ɯː p̚ 1
มติ	m a 3 . t i ʔ 1
ชิม	t͡ɕʰ i m
ปาร์ตี้	p aː . t iː 2
มืออาชีพ	m ɯː . ʔ aː . t͡ɕʰ iː p̚ 2
สงฆ์	s o ŋ 4
จามรี	t͡ɕ aː . m a 3 . r iː
ตะวันตกเฉียงเหนือ	t a 1 . w a n . t o k̚ 1 . t͡ɕʰ i a̯ ŋ 4 . n ɯ a̯ 4
พจน	pʰ o t̚ 3 . t͡ɕ a 1 . n a 3 . 
กล้าหาญ	k l aː 2 . h aː n 4
ดิ่ว	d i w 1
เปลือกไม้	p l ɯ a̯ k̚ 1 . m aː j 3
พุธ	pʰ u t̚ 3
อหิวาต์	ʔ a 1 . h i 1 . w aː
ประชุม	p r a 1 . t͡ɕʰ u m
ขนมจีน	kʰ a 1 . n o m 4 . t͡ɕ iː n
สวีเดน	s a 1 . w iː . d e n
เขี่ย	kʰ i a̯ 1
สะกิด	s a 1 . k i t̚ 1
เป็ด	p e t̚ 1
เหน็บแนม	n e p̚ 1 . n ɛː m
โคมลอย	kʰ oː m . l ɔː j
ดิ้น	d i n 2
ความเค้น	kʰ w aː m . kʰ e n 3
เสพย์	s eː p̚ 1
อุรุกวัย	ʔ u 1 . r u 3 . k w a j
ปาเลสไตน์	p aː . l eː s 3 . t aː j
บริวาร	b ɔː . r i 3 . w aː n
เพี้ยน	pʰ i a̯ n 3
ข้าราชการ	kʰ aː 2 . r aː t̚ 2 . t͡ɕʰ a 3 . k aː n
ป่าดงพงไพร	p aː 1 . d o ŋ . pʰ o ŋ . pʰ r a j
ฟิสิกส์	f i 3 . s i k̚ 1
ยาดม	j aː . d o m
โต้	t oː 2
พฤศจิกายน	pʰ r ɯ t̚ 3 . s a 1 . t͡ɕ i 1 . k aː . j o n
เกรียน	k r i a̯ n
อักขรวิธี	ʔ a k̚ 1 . kʰ a 1 . r a 1 . w i 3 . tʰ iː
จักจี้	t͡ɕ a k̚ 1 . k a 1 . t͡ɕ iː 2
โถ	tʰ oː 4
เส้นศูนย์สูตร	s e n 2 . s uː n 4 . s uː t̚ 1
ฮูก	h uː k̚ 2
แล้ว	l ɛː w 3
หวัง	w a ŋ 4
วิโอลา	w i 3 . ʔ oː . l aː 2
พิราบ	pʰ i 3 . r aː p̚ 2
วลี	w a 3 . l iː
ว่าต่าง	w aː 2 . t aː ŋ 1
น้องชาย	n ɔː ŋ 3 . t͡ɕʰ aː j
แลนทานัม	l ɛː n . tʰ aː . n a m 2
การผลัก	k aː n . pʰ l a k̚ 1
ยืนยัน	j ɯː n . j a n
หนอน	n ɔː n 4
ยำ	j a m
แถว	tʰ ɛ w 4
ลิ้ม	l i m 3
โรคระบาด	r oː k̚ 2 . r a 3 . b aː t̚ 1
ตับอ่อน	t a p̚ 1 . ʔ ɔː n 1
ห้า	h aː 2
มิชิแกน	m i 3 . t͡ɕʰ i 3 . k ɛː n
ผ่องใส	pʰ ɔ ŋ 1 . s a j 4
ตับ	t a p̚ 1
แซว	s ɛ w
กุ้งแห้ง	k u ŋ 2 . h ɛː ŋ 2
ขอรับ	kʰ ɔː 4 . r a p̚ 3
โปรดเกล้าฯ	p r oː t̚ 1 . k l aː w 2
กระเต็น	k r a 1 . t e n
หมากฝรั่ง	m aː k̚ 1 . f a 1 . r a ŋ 1
ภูมิคุ้มกัน	pʰ uː m . kʰ u m 3 . k a n
แถม	tʰ ɛː m 4
บัดกรี	b a t̚ 1 . k r iː
สอนจระเข้ให้ว่ายน้ำ	s ɔː n 4 . t͡ɕ ɔː . r a 3 . kʰ eː 2 . h a j 2 . w aː j 2 . n aː m 3
สหรัฐอาหรับเอมิเรตส์	s a 1 . h a 1 . r a t̚ 3 . ʔ aː . r a p̚ 1 . ʔ eː . m i 3 . r eː t̚ 2
ดิสนีย์	d i s 3 . n iː 2
แทบ	tʰ ɛː p̚ 2
กสิกรรม	k a 1 . s i 1 . k a m
พิฆาต	pʰ i 3 . kʰ aː t̚ 2
กรุณา	k a 1 . r u 3 . n aː
ผูกพัน	pʰ uː k̚ 1 . pʰ a n
แฟรงก์เฟิร์ต	f r ɛ ŋ 3 . f ɤː t̚ 1
พิภพ	pʰ i 3 . pʰ o p̚ 3
หว้า	w aː 2
มาถึง	m aː . tʰ ɯ ŋ 4
ฝีเท้า	f iː 4 . tʰ aː w 3
คำให้การ	kʰ a m . h a j 2 . k aː n
มะตูม	m a 3 . t uː m
บุ้ง	b u ŋ 2
แข็งแรง	kʰ ɛ ŋ 4 . r ɛː ŋ
โหม	h oː m 4
ครึ่ง	kʰ r ɯ ŋ 2
ตรีนิศก	t r iː . n i 3 . s o k̚ 1
โปรตุเกส	p r oː . t u 1 . k eː t̚ 1
ฆาตกร	kʰ aː t̚ 2 . t a 1 . k ɔː n
นกหวีด	n o k̚ 3 . w iː t̚ 1
น้ำเสีย	n aː m 3 . s i a̯ 4
ปั่น	p a n 1
ภาษามือ	pʰ aː . s aː 4 . m ɯː
ตุ่ม	t u m 1
พายุหมุน	pʰ aː . j u 3 . m u n 4
บทเรียน	b o t̚ 1 . r i a̯ n
ลอว์เรนเซียม	l ɔː . r e n . s i a̯ m 2
แก้ม	k ɛː m 2
สังคัง	s a ŋ 4 . kʰ a ŋ
อิตาลี	ʔ i 1 . t aː . l iː 2
แกงเผ็ด	k ɛː ŋ . pʰ e t̚ 1
ถั่ว	tʰ u a̯ 1
ซิป	s i p̚ 3
แฝด	f ɛː t̚ 1
ผิวปาก	pʰ i w 4 . p aː k̚ 1
ทักทาย	tʰ a k̚ 3 . tʰ aː j
ข้าวโอ๊ต	kʰ aː w 2 . ʔ oː t̚ 3
ข่าย	kʰ aː j 1
ชลธี	t͡ɕʰ o n . l a 3 . tʰ iː
ก้ามปู	k aː m 2 . p uː
เชื้อชาติ	t͡ɕʰ ɯ a̯ 3 . t͡ɕʰ aː t̚ 2
วิญญาณ	w i n . j aː n
ลูกคิด	l uː k̚ 2 . kʰ i t̚ 3
มดยอบ	m o t̚ 3 . j ɔː p̚ 2
เรณู	r eː . n uː
ประเพณี	p r a 1 . pʰ eː . n iː
ระยะทาง	r a 3 . j a 3 . tʰ aː ŋ
ด้อย	d ɔ j 2
วัวสันหลังหวะ	w u a̯ . s a n 4 . l a ŋ 4 . w a ʔ 1
นี้	n iː 3
อัปยศ	ʔ a p̚ 1 . p a 1 . j o t̚ 3
นฤพาน	n a 3 . r ɯ 3 . pʰ aː n
มะเขือ	m a 3 . kʰ ɯ a̯ 4
หย่อน	j ɔ n 1
ลุยเซียนา	l u j . s i a̯ . n aː 2
ปรมาภิไธย	p a 1 . r a 3 . m aː . pʰ i 3 . tʰ a j
การบังคับใช้	k aː n . b a ŋ . kʰ a p̚ 3 . t͡ɕʰ a j 3
ไนต์คลับ	n a j 3 . kʰ l a p̚ 1
ลิฟต์	l i p̚ 3
ฝาย	f aː j 4
กะทันหัน	k a 1 . tʰ a n . h a n 4
บัณฑูร	b a n . tʰ uː n
ครั้ง	kʰ r a ŋ 3
อัปมงคล	ʔ a p̚ 1 . p a 1 . m o ŋ . kʰ o n
น้า	n aː 3
จำนวนตรรกยะ	t͡ɕ a m . n u a̯ n . t a k̚ 1 . k a 1 . j a ʔ 3
การคำนวณ	k aː n . kʰ a m . n u a̯ n
แคดเมียม	kʰ ɛ t̚ 3 . m i a̯ m 2
ใต้ดิน	t aː j 2 . d i n
ตาปลา	t aː . p l aː
แกว่ง	k w ɛ ŋ 1
อุ้ง	ʔ u ŋ 2
ความสำคัญ	kʰ w aː m . s a m 4 . kʰ a n
ของฝาก	kʰ ɔː ŋ 4 . f aː k̚ 1
ลาว	l aː w
พร้า	pʰ r aː 3
ฟัด	f a t̚ 3
อืด	ʔ ɯː t̚ 1
เป็นกลาง	p e n . k l aː ŋ
ที่ดิน	tʰ iː 2 . d i n
เสือร้องไห้	s ɯ a̯ 4 . r ɔː ŋ 3 . h aː j 2
ปั๊บ	p a p̚ 3
ลุล่วง	l u 3 . l u a̯ ŋ 2
ผัก	pʰ a k̚ 1
โพย	pʰ oː j
พิสดาร	pʰ i t̚ 3 . s a 1 . d aː n
สาหัส	s aː 4 . h a t̚ 1
อารย	ʔ aː . r a 3 . j a 3 . 
โรงละคร	r oː ŋ . l a 3 . kʰ ɔː n
โซมาเลีย	s oː . m aː . l i a̯
ผอบ	pʰ a 1 . ʔ o p̚ 1
อัณฑะ	ʔ a n . tʰ a ʔ 3
ปากีสถาน	p aː . k iː . s a 1 . tʰ aː n 4
เปลญวน	p l eː . j u a̯ n
สุจริต	s u t̚ 1 . t͡ɕ a 1 . r i t̚ 1
เปิดโปง	p ɤː t̚ 1 . p oː ŋ
ไอดาโฮ	ʔ a j . d aː . h oː 2
สิงคาล	s i ŋ 4 . kʰ aː n
เอง	ʔ eː ŋ
โบรมีน	b r oː . m iː n
จิตใจ	t͡ɕ i t̚ 1 . t͡ɕ a j
เนิ่นนาน	n ɤː n 2 . n aː n
บรรยากาศ	b a n . j aː . k aː t̚ 1
อธิบดี	ʔ a 1 . tʰ i 3 . b ɔː . d iː
เสียว	s i a̯ w 4
ปากคำ	p aː k̚ 1 . kʰ a m
ก้าม	k aː m 2
จ๊าก	t͡ɕ aː k̚ 3
โรย	r oː j
อึดอัด	ʔ ɯ t̚ 1 . ʔ a t̚ 1
แช่เย็น	t͡ɕʰ ɛː 2 . j e n
ก้อง	k ɔ ŋ 2
เขน	kʰ eː n 4
สุรินทร์	s u 1 . r i n
โขลง	kʰ l oː ŋ 4
ใจไม้ไส้ระกำ	t͡ɕ a j . m aː j 3 . s a j 2 . r a 3 . k a m
ถอดถอน	tʰ ɔː t̚ 1 . tʰ ɔː n 4
คู่รัก	kʰ uː 2 . r a k̚ 3
รถ	r o t̚ 3
ถ้อย	tʰ ɔ j 2
ความมืด	kʰ w aː m . m ɯː t̚ 2
ฟุตบอล	f u t̚ 3 . b ɔ n
สุกี้	s u 1 . k iː 2
เหี้ยมโหด	h i a̯ m 2 . h oː t̚ 1
ตะวันออก	t a 1 . w a n . ʔ ɔː k̚ 1
พ่าย	pʰ aː j 2
มีโชค	m iː . t͡ɕʰ oː k̚ 2
กู	k uː
อัตราส่วน	ʔ a t̚ 1 . t r aː . s u a̯ n 1
บรรลัย	b a n . l a j
เกลือแร่	k l ɯ a̯ . r ɛː 2
ค้ำประกัน	kʰ a m 3 . p r a 1 . k a n
ตั้งโอ๋	t a ŋ 2 . ʔ oː 4
ปัญญาอ่อน	p a n . j aː . ʔ ɔː n 1
ทอม	tʰ ɔ m
สองจิตสองใจ	s ɔː ŋ 4 . t͡ɕ i t̚ 1 . s ɔː ŋ 4 . t͡ɕ a j
ค่า	kʰ aː 2
ผ้าพันแผล	pʰ aː 2 . pʰ a n . pʰ l ɛː 4
วินาศ	w i 3 . n aː t̚ 2
ดูใจ	d uː . t͡ɕ a j
ทัน	tʰ a n
คุกเข่า	kʰ u k̚ 3 . kʰ a w 1
กระหาย	k r a 1 . h aː j 4
ปัดเป่า	p a t̚ 1 . p a w 1
ดุ	d u ʔ 1
คุณภาพ	kʰ u n . n a 3 . pʰ aː p̚ 2
ตื่นนอน	t ɯː n 1 . n ɔː n
กุมารี	k u 1 . m aː . r iː
คุณสมบัติ	kʰ u n . n a 3 . s o m 4 . b a t̚ 1
อือออ	ʔ ɯː . ʔ ɔː
เครื่องสูบ	kʰ r ɯ a̯ ŋ 2 . s uː p̚ 1
ไขกระดูก	kʰ a j 4 . k r a 1 . d uː k̚ 1
สเปิร์ม	s a 1 . p ɤː m
อวัยวะ	ʔ a 1 . w a j . j a 3 . w a ʔ 3
สลิป	s a 1 . l i p̚ 1
กี้	k iː 2
แขวน	kʰ w ɛː n 4
ยุติธรรม	j u t̚ 3 . t i 1 . tʰ a m
แก้วหู	k ɛː w 2 . h uː 4
ทัด	tʰ a t̚ 3
สมัย	s a 1 . m a j 4
บรรจบ	b a n . t͡ɕ o p̚ 1
หมา	m aː 4
หลานชาย	l aː n 4 . t͡ɕʰ aː j
อริยบุคคล	ʔ a 1 . r i 3 . j a 3 . b u k̚ 1 . kʰ o n
กฎหมาย	k o t̚ 1 . m aː j 4
แอปเปิ้ล	ʔ ɛ p̚ 3 . p ɤ n 2
ชวด	t͡ɕʰ u a̯ t̚ 2
ทว่า	tʰ a 3 . w aː 2
ศูนย์	s uː n 4
มะโรง	m a 3 . r oː ŋ
สุขาภิบาล	s u 1 . kʰ aː 4 . pʰ i 3 . b aː n
ไฮ้	h a j 3
แอลฟา	ʔ ɛː l . f aː 2
สับสน	s a p̚ 1 . s o n 4
จีน	t͡ɕ iː n
ช่างหล่อ	t͡ɕʰ aː ŋ 2 . l ɔː 1
ดับ	d a p̚ 1
ความขัดแย้ง	kʰ w aː m . kʰ a t̚ 1 . j ɛː ŋ 3
ทะเลทราย	tʰ a 3 . l eː . s aː j
ลิเบีย	l i 3 . b i a̯
หน่อ	n ɔː 1
วรรณะ	w a n . n a ʔ 3
ลูกหลง	l uː k̚ 2 . l o ŋ 4
ศาลเตี้ย	s aː n 4 . t i a̯ 2
โครงการ	kʰ r oː ŋ . k aː n
พฤษภาคม	pʰ r ɯ t̚ 3 . s a 1 . pʰ aː . kʰ o m
แบนโจ	b ɛː n . t͡ɕ oː
เจ็ดสิบ	t͡ɕ e t̚ 1 . s i p̚ 1
กลั่น	k l a n 1
ทองคำเปลว	tʰ ɔː ŋ . kʰ a m . p l eː w
มัสตาร์ด	m a s 3 . t aː t̚ 1
รีด	r iː t̚ 2
กระจับปี่	k r a 1 . t͡ɕ a p̚ 1 . p iː 1
งง	ŋ o ŋ
แว่นกันแดด	w ɛ n 2 . k a n . d ɛː t̚ 1
ชู	t͡ɕʰ uː
ฟัก	f a k̚ 3
เคย	kʰ ɤː j
หิ้วปีก	h i w 2 . p iː k̚ 1
แหลม	l ɛː m 4
ศิษย์เก่า	s i t̚ 1 . k a w 1
กฎมนเทียรบาล	k o t̚ 1 . m o n . tʰ i a̯ n . b aː n
พิพากษา	pʰ i 3 . pʰ aː k̚ 2 . s aː 4
ผ้าโพกหัว	pʰ aː 2 . pʰ oː k̚ 2 . h u a̯ 4
ใส่ไข่	s a j 1 . kʰ a j 1
กระดอ	k r a 1 . d ɔː
ประมวลกฎหมาย	p r a 1 . m u a̯ n . k o t̚ 1 . m aː j 4
นั่น	n a n 2
สวิตเซอร์แลนด์	s a 1 . w i t̚ 3 . s ɤː . l ɛː n
ทางเพศ	tʰ aː ŋ . pʰ eː t̚ 2
สมุนไพร	s a 1 . m u n 4 . pʰ r a j
ศิศุ	s i 1 . s u ʔ 1
ความประพฤติ	kʰ w aː m . p r a 1 . pʰ r ɯ t̚ 3
ความกดอากาศ	kʰ w aː m . k o t̚ 1 . ʔ aː . k aː t̚ 1
เที่ยง	tʰ i a̯ ŋ 2
ย่น	j o n 2
ขี้ลืม	kʰ iː 2 . l ɯː m
นายจ้าง	n aː j . t͡ɕ aː ŋ 2
ไปรษณีย์ลงทะเบียน	p r a j . s a 1 . n iː . l o ŋ . tʰ a 3 . b i a̯ n
กุน	k u n
ธรรม	tʰ a m
แมนจูเรีย	m ɛː n . t͡ɕ uː . r i a̯
ถั่วเพาะ	tʰ u a̯ 1 . pʰ ɔ ʔ 3
เชือดไก่ให้ลิงดู	t͡ɕʰ ɯ a̯ t̚ 2 . k a j 1 . h a j 2 . l i ŋ . d uː
ฆาต	kʰ aː t̚ 2
แสร้ง	s ɛː ŋ 2
อิฐ	ʔ i t̚ 1
ที่นั่ง	tʰ iː 2 . n a ŋ 2
อ่าน	ʔ aː n 1
เก๊ก	k e k̚ 3
ผึ้ง	pʰ ɯ ŋ 2
สัมภเวสี	s a m 4 . pʰ a 3 . w eː . s iː 4
เบนซิน	b eː n . s i n
ที่คั่นหนังสือ	tʰ iː 2 . kʰ a n 2 . n a ŋ 4 . s ɯː 4
ยาแก้ไอ	j aː . k ɛː 2 . ʔ a j
ข้อมือ	kʰ ɔː 2 . m ɯː
คีตะ	kʰ iː . t a ʔ 1
การงาน	k aː n . ŋ aː n
ร้อนรน	r ɔː n 3 . r o n
เงื่อน	ŋ ɯ a̯ n 2
เบน	b eː n
ความปลอดภัย	kʰ w aː m . p l ɔː t̚ 1 . pʰ a j
วงเล็บ	w o ŋ . l e p̚ 3
น้ำมันดิน	n a m 3 . m a n . d i n
คำทับศัพท์	kʰ a m . tʰ a p̚ 3 . s a p̚ 1
ภราดา	pʰ a 3 . r aː . d aː
สงครามกลางเมือง	s o ŋ 4 . kʰ r aː m . k l aː ŋ . m ɯ a̯ ŋ
กัศมีร์	k a t̚ 1 . s a 1 . m iː 4
โทรจิต	tʰ oː . r a 3 . t͡ɕ i t̚ 1
ผู้ป่วย	pʰ uː 2 . p u a̯ j 1
เช่นเคย	t͡ɕʰ eː n 2 . kʰ ɤː j
เนปีดอ	n eː . p iː . d ɔː
เหน็บ	n e p̚ 1
เมล์	m eː
ใจลอย	t͡ɕ a j . l ɔː j
พระทัย	pʰ r a 3 . tʰ a j
ร้องเรียก	r ɔː ŋ 3 . r i a̯ k̚ 2
ปลอดโปร่ง	p l ɔː t̚ 1 . p r oː ŋ 1
เสรีนิยม	s eː 4 . r iː . n i 3 . j o m
หาม	h aː m 4
นิ้ว	n i w 3
อิตาเลียน	ʔ i 1 . t aː . l i a̯ n
ประหลาด	p r a 1 . l aː t̚ 1
ฮินดี	h i n . d iː
กฎหมายเอกชน	k o t̚ 1 . m aː j 4 . ʔ eː k̚ 1 . k a 1 . t͡ɕʰ o n
เผยอ	pʰ a 1 . j ɤː 4
ศศะ	s a 1 . s a ʔ 1
อนาธิปไตย	ʔ a 1 . n aː . tʰ i 3 . p a 1 . t a j
ข้อ	kʰ ɔː 2
เส้นประสาท	s e n 2 . p r a 1 . s aː t̚ 1
สลุต	s a 1 . l u t̚ 1
พืชดอก	pʰ ɯː t̚ 2 . d ɔː k̚ 1
วิเสท	w i 3 . s eː t̚ 1
ปริซึม	p r i 3 . s ɯ m 2
ย่อย	j ɔ j 2
แห่งชาติ	h ɛ ŋ 1 . t͡ɕʰ aː t̚ 2
อภิเษก	ʔ a 1 . pʰ i 3 . s eː k̚ 1
คร้าม	kʰ r aː m 3
ยิง	j i ŋ
การทราบ	k aː n . s aː p̚ 2
ลงทุน	l o ŋ . tʰ u n
สวะ	s a 1 . w a ʔ 1
ฟุ้ง	f u ŋ 3
เจว็ด	t͡ɕ a 1 . w e t̚ 1
หน้าเลือด	n aː 2 . l ɯ a̯ t̚ 2
รังไข่	r a ŋ . kʰ a j 1
กลางคืน	k l aː ŋ . kʰ ɯː n
รก	r o k̚ 3
