1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_36_25_6	ดังนั้น   การ เลือก ใช้ เครื่อง จะ เลือก เครื่อง ที่ ไว้ใจได้   และ ความคงทน สูง   โดยเฉพาะ การ ที่จะ ต้อง เปิด เครื่อง ใช้งาน ควบคุม ใน เวลา   ยี่สิบ สี่   ชั่วโมง   จำนวน อย่างน้อย   หก   วัน   หรือ เป็น เดือน   โดย ไม่มี การ หยุด เครื่อง
1_36_33_5	ทั้งนี้   เนื่องจาก เทอร์โบ ปาสคาล ได้ ให้ คำสั่ง หลายอย่าง ที่ อำนวยความสะดวก   อีก ทั้ง การ ทดสอบ โปรแกรม รวดเร็ว กว่า ภาษาซี มาก
1_36_3_4	และ   นาย โยธิน   เปรม ปราณี รัชต ์
1_36_40_1	รูป ที่สาม   แสดง เมนูหลัก ของ การ เลือก โปรแกรมย่อย   ใน รูป เป็น เมนูหลัก ของ สูตร อาหารสัตว์   ซึ่ง ประกอบด้วย
1_36_47_4	ในที่นี้   จึง ต้อง มี โปรแกรมย่อย เพื่อ จัดการ กับ สูตร อาหาร เดิม เหล่านี้   ดังนี้
1_36_54_2	ก็ จะ ทำการ บันทึก สูตร ลง ใน แผ่น สูตร ซึ่ง อยู่ ใน แผ่น เดียว กับ แผ่น โปรแกรม
1_36_57_4	ทำให้ มี บ่อยครั้ง ที่ ได้ ข้อมูล มา ไม่ ครบถ้วน หรือ ถูกต้อง
1_36_62_2	คือ   ลด เวลา ที่ ใช้ ใน การ ฝึกอบรม พนักงาน ที่จะ มา เป็น โอเปอเรเตอร์ ลง
1_36_62_4	และ ลด โอกาส ที่จะ เกิด ความผิดพลาด เนื่องจาก ประมาท พลั้งเผลอ ด้วย
1_36_63_2	คือ จะ ดูแล อุปกรณ์ ใน ขอบเขต ความรับผิดชอบ ของ ตน
1_36_63_6	นอกจากนี้   ในกรณีที่ ระบบ สื่อสาร ระหว่าง แต่ละ สถานี ขัดข้อง ไป   สถานี ย่อย เหล่านี้   ก็ ยัง สามารถ ดำเนินงาน ที่ จำเป็น ต่อเนื่อง ไป ได้ โดยอัตโนมัติ ด้วย
1_36_64_2	ซึ่ง อุปกรณ์ควบคุม เดิม ควบคุม ได้ เพียง   สิบ   ชนิด ของ วัตถุดิบ
1_36_66_2	โดย ถือเอา น้ำหนัก ของ วัตถุดิบ แต่ละ ชนิด เป็น เกณฑ์
1_37_12_11	หลังจากนั้น ทำการ ลด อุณหภูมิ ลง อย่างสม่ำเสมอ ตาม เส้น กราฟ ใน รูป ที่สาม   ตลอด ช่วงเวลา การ ปลูก ผลึก
1_37_12_5	เมื่อ ใน สารละลาย มี ผิว หน้าแว่น ผลึก เคลื่อนที่ เข้าไป สัมผัส
1_37_13_6	จุดประสงค์ เพื่อ ใช้ กัด ผิว แว่น ผลึก ก่อน ทำการ ปลูก ผลึก ใน ช่วง ที่สาม
1_37_26_1	รูป ที่หก   และ   เจ็ด   แสดง ภาพจริง ของ ไดโอด เปล่งแสง ทั้งสอง ชนิด   ทั้ง ก่อน เปล่งแสง   รูป กอ   และ ในขณะที่ เปล่งแสง รูป   ขอ
1_37_27_6	ดังนั้น ใน ช่วงนี้ ไดโอด จะ ยัง ไม่ เปล่งแสง
1_37_27_7	เมื่อ การ ไบ แอ ส เดินหน้า มีค่า สูง ขึ้น กระแส แพร่ ซึม มีค่า สูง ตาม
1_37_27_9	อย่างไรก็ตาม พฤติกรรม นี้   จะ มี ความแตกต่าง กัน อย่างมาก ระหว่าง ไดโอด ชนิด เปล่งแสง ด้านหน้า กับ ชนิด เปล่งแสง ด้าน ข้าง   ซึ่ง จะ เห็น จาก รูป ที่ เก้า
1_37_28_1	รูป ที่ สิบ   และ   สิบเอ็ด   แสดง ลักษณะ สมบัติ ของ ความ เข้ม กับ ความยาวคลื่น   สเปค ต รัม ของ แสง ที่ เปล่ง
1_37_28_4	ส่วน รูป ที่สอง   กอ   ขอ   และ   คอ   เป็น ของ ไดโอด ชนิด เปล่งแสง ด้าน ข้าง ของ โครงสร้าง ที่หนึ่ง   สอง   และ   สาม   ตาม ตาราง ที่สอง   ตามลำดับ
1_37_29_4	ซึ่ง ชี้ให้เห็น ว่า ปรากฎการณ์ แบบ ถูก เร้า มีแนวโน้ม เกิดขึ้น
1_37_5_1	ได้ ทำการ ออกแบบ และ ทดลอง สร้าง ไดโอด เปล่งแสง ขึ้น   สอง   โครงสร้าง   คือ   โครงสร้าง ที่ มี การ เปล่งแสง ด้านหน้า   และ โครงสร้าง ที่ มี การ เปล่งแสง ด้าน ข้าง   ใน ช่วง ความยาวคลื่น   หก ร้อยห้าสิบ ถึง เก้า ร้อย   นาโนเมตร   ด้วย สารประกอบ กึ่ง ตัวนำ ชนิด   สอง   ธาตุ   แกล เลี่ยม อาร์ เซ ไน ด์   และ สารประกอบ กึ่ง ตัวนำ ชนิด   สาม   ธาตุ   แกล เลี่ยม อลูมิเนียม อาร์ เซ ไน ด์
1_37_5_2	โดย ใช้ วิธี ปลูก ผลึก ด้วย เตา เอ พิแทก ซี สถานะ ของเหลว แบบ แนวนอน
1_37_5_3	และ เมื่อ ทำการ วิเคราะห์ และ เปรียบเทียบ ลักษณะ สมบัติ ที่ สำคัญ สำคัญ   เช่น   สเปค ต รัม ของ แสง   ช่วง กว้าง สเปค ต รัม ของ แสง   กำลัง แสง และ ลักษณะ สมบัติ กระแส แรงดัน สรุป ได้ ว่า   โครงสร้าง แบบ หัวต่อ ต่าง ชนิด   หนึ่ง   หัวต่อ   ซึ่ง ถูก ออกแบบ ให้ มีประสิทธิภาพ ใน การ ฉีด พาหะ สูง มี ความเหมาะสม ที่สุด   สำหรับ ไดโอด เปล่งแสง จาก ด้านหน้า
1_37_7_6	โครงสร้าง จึง ต้อง ยุ่งยาก ขึ้น
1_38_33_1	หนึ่ง   ทำ การชั่ง สารประกอบ ออกไซด์   ที่ ใช้ ใน การทดลอง แต่ละ ชนิด   ด้วย เครื่องชั่ง ที่ มี ความ ละเอียด   ให้ได้ น้ำหนัก ของ สาร ที่ ถูกต้อง   คือ   อิตเทรียม ออกไซด์   ศูนย์ จุด เจ็ด ห้า หก ห้า   กรัม   แบเรียม คาร์บอเนต   สอง จุด หก สี่ สี่ เก้า   กรัม   และ คอปเปอร์ ออกไซด์   หนึ่ง จุด ห้า เก้า แปด ห้า   กรัม
1_38_35_3	เพื่อให้ เนื้อ สาร คลุกเคล้า กัน จน ทั่ว   นาน ประมาณ   สิบ   ชั่วโมง
1_38_36_4	พร้อมกับ มี การ ปล่อย ก๊าซ ออกซิเจน ผ่าน เข้าไป ใน เตาเผา นาน ประมาณ   สิบสอง   ชั่วโมง   ด้วย อัตรา การ ไหล ของ ก๊าซ ประมาณ   สอง ร้อย   ทอ ร์ ต่อ ลิตร ต่อ วินาที
1_38_3_2	ประสาร   อ่าน เปรื่อง   สุ พัฒน์พงษ์   ดำรง รัตน์   และ   กัลณ กา   สาธิต ธาดา
1_38_41_5	ปล่อย ให้ อุณหภูมิ ภายใน เตาเผา ลดลง เรื่อย เรื่อย   จนถึง อุณหภูมิ ห้อง
1_38_42_1	สิบ   นำ เม็ด สาร ที่ ได้ จาก การ เผา มา ทดสอบ การ เกิด ปรากฎการณ์ ไมซ์ เนอ ร์
1_38_42_2	โดย วาง เม็ด สาร ลง บน แผ่น ทองแดง ที่ แช่ อยู่ ใน ไนโตรเจน เหลว
1_38_42_4	นำ แท่ง แม่เหล็ก มา วาง เหนือ เม็ด สาร
1_38_42_5	ถ้า แท่ง แม่เหล็ก สามารถ ลอยตัว อยู่ เหนือ เม็ด สาร ได้
1_38_44_3	ทั้งนี้   จะ ทำ การถ่ายภาพ การ เลี้ยว เบน รังสี เอ็กซ์ ผ่าน ผลึก ของ เม็ด สารตัวนำยิ่งยวด ที่ อุณหภูมิ ห้อง
1_38_44_7	และ ใช้ ผลึก ค วอร์ ทช์ เป็น โม โน โค ร เม เต อร ์ เพื่อ โฟกัส ลำ รังสี เอ็กซ์
1_38_44_9	และ คำนวณ ขนาด ระยะห่าง ระหว่าง ระนาบ   ของ แต่ละ เส้น เลี้ยว เบน
1_38_48_1	คำนวณ ระยะห่าง ระหว่าง ระนาบ   เมื่อ มี การ เกลา ค่า ขนาด ของ หน่วย เซ ล แล้ว
1_38_5_4	ขณะนี้   โครงการ นี้ อยู่ ระหว่าง การพัฒนา เครื่อง สปัต เต อริ ง แบบ   ดี   ซี   พ ลา นา ร์ แมก นิ ต รอย
1_38_7_4	หรือ ใช้ แผ่น โลหะ   สาม   ชนิด เป็น เป้า   สาม   เป้า   พร้อมกัน เพื่อ ทำ กา รส ปัต เต อร ์ ภายใต้ บรรยากาศ ของ ออกซิเจน
1_38_8_1	การศึกษา วิจัย ทาง ด้าน การเคลือบ ฟิล์ม บาง ของ สารตัวนำยิ่งยวด นั้น   มี สิ่งจูงใจ จาก สาเหตุ สำคัญ   สอง   ประการ
1_38_9_1	สำหรับ วัตถุประสงค์ ของ โครงการวิจัย นี้   ใน ระยะ เริ่มต้น จะ เป็น การศึกษา การ เตรียม สารประกอบ ตัวนำยิ่งยวด   พร้อมทั้ง การ วัด สมบัติ ต่าง ต่าง   ทางกายภาพ และ ทาง ไฟฟ้า
1_39_10_3	ลักษณะ โครงสร้าง ที่ เหมือน มอ สเฟท ก็ คือ   ต้อง มีส่วน ซอส    ส่วน เครน   และ มีส่วน เกท ที่ ใช้ ควบคุม การทำงาน มอ สเฟท
1_39_10_5	จึง มี รอยต่อ ภายใน โครงสร้าง   สอง   รอยต่อ   ซ้อน กัน อยู่ เช่นเดียวกับ ไบ โพลาร์ ทรานซิสเตอร์
1_39_11_1	ดี มอ ส เป็น อุปกรณ์ ที่ มี การ ไหล ของ กระแส ทั้ง ใน แนวดิ่ง   และ ใน แนวนอน
1_39_12_1	ใน รายงาน ฉบับ นี้   จะ ได้ กล่าวถึง เทคโนโลยี การ ออกแบบ   กระบวนการ สร้าง   และ การพัฒนา มอ สเฟท กำลัง ชนิด ดี มอ ส แบบ เอ็น แชนแนล
1_39_18_1	รูป ที่สอง   ลักษณะ โครงสร้าง ของดี มอ ส   ซึ่ง มีส่วน ซอส เล็ก เล็ก   จำนวนมาก อยู่ ด้านบน   และ ส่วน เด รน อยู่ ด้านล่าง
1_39_19_3	และ ไบ อัส ส่วน เกท ด้วย แรงดัน ไฟ บวก ที่สูง กว่า แรงดัน วิกฤติ แล้ว
1_39_19_4	จะ ทำให้เกิด ช่องทาง นำ กระแส   หรือ แชนแนล ชนิด เอ็น ขึ้น ใน แนวนอน ของ ส่วน พี ทุก ด้าน   ที่อยู่ ใต้ เกท ออกไซด์
1_39_22_2	เพียงแต่ ดี มอ ส ใช้ แรงดัน ไฟฟ้า ที่ ส่วน เกท มา ควบคุม การ ไหล ของ กระแส เครน   ซึ่ง ต่าง ไป จาก ทรานซิสเตอร์   ที่ ใช้ กระแสไฟฟ้า ใน ส่วน เบส ไป ควบคุม กระแส คอ ลเลค เต อร ์
1_39_23_1	จาก ลักษณะ คุณสมบัติ ความสัมพันธ์ ของ กระแส เครน   และ แรงดัน เครน ของดี มอ ส ที่ แรงดัน เกท ค่า ต่าง ต่าง   ดัง แสดง ใน รูป ที่สี่
1_39_25_1	จาก ลักษณะ การทำงาน และ กราฟ แสดง คุณสมบัติ ความสัมพันธ์ ของ กระแส เครน   และ แรงดัน เครน ของดี มอ ส แบบ เอ็น แชนแนล   จะ แสดงให้เห็น ถึง สมการ ทั่วไป ของ มอ สเฟท   ที่ นำมา ใช้ได้ กับ ดี มอ ส
1_39_25_2	โดย จะ แสดง ความสัมพันธ์ ของ พารามิเตอร์ ต่าง ต่าง   ที่ สำคัญ   ที่ เปลี่ยนแปลง ไป ได้ ตาม ลักษณะ โครงสร้าง และ การ ไบ อัส ที่ ให้ กับ ดี มอ ส   ทั้ง ใน ช่วง เชิงเส้น และ ช่วง อิ่มตัว   ดังนี้   สอง   สาม
1_39_37_3	และ มี ความ กว้าง ของ แชนแนล เปลี่ยนแปลง ตั้งแต่   หนึ่ง พัน สอง ร้อย   สอง พัน สี่ ร้อย   สาม พันหกร้อย   และ   สี่ พัน แปด ร้อย   ไมครอน
1_39_38_6	โดย แพร่ ซอส ลง บน สาร เจือ โบรอน
1_39_38_8	เพื่อให้ เกิด แชนแนล ขึ้น ได้
1_39_39_1	ก่อน จะ เริ่ม กระบวนการ แพร่ สาร เจือ โบรอน   ฟอสฟอรัส   รวมทั้ง การ สร้าง ขั้ว โลหะ ให้ กับ ดี มอ ส   จะ ต้อง ใช้ ขบวนการ ทาง สาร ไว แสง เข้า ช่วย ใน การ กัด ออกไซด์ ออก เป็น ช่อง ต่าง ต่าง   ตามที่ ต้องการ   รวมทั้ง การ กัด ลวดลาย ของ ส่วน ซอส และ ส่วน เกท ด้วย
1_39_51_1	ห้า จุด สี่   นำ ผล ที่ ได้ จาก ข้อ   ห้า จุด สอง   มา เขียน กราฟ ความสัมพันธ์ ของ พารามิเตอร์   เพื่อ เปรียบเทียบ กับ การเปลี่ยนแปลง ของ ความก้าวหน้า ของ แชนแนล
1_39_61_1	จาก ผล การทดลอง วัด คุณสมบัติ ต่าง ต่าง   ทาง ไฟฟ้า ของดี มอ ส ที่ ทดลอง สร้าง ขึ้น พบ ว่า   แรงดัน พัง ทะลาย อยู่ ใน ช่วง   หนึ่งร้อย ยี่สิบ ถึง หนึ่งร้อย สี่ สิบ   โวลต์   ซึ่ง มีค่า สูง อยู่ในเกณฑ์ ที่ ใช้ได้
1_39_64_1	จาก ผล การทดลอง ที่ผ่านมา สรุป ได้ ว่า   มอ ส เฟส กำลัง ที่ มี คุณสมบัติ ดี จะ ต้อง มี แรงดัน วิกฤติ ต่ำ   กระแส รั่วไหล ต่ำ   ต่ำ   แรงดัน พัง ทะลาย และ   มีค่า สูง
1_39_64_2	ซึ่ง จาก การทดลอง สร้าง และ ปรับปรุง ขบวนการ สร้าง มา แล้ว   ยังมี คุณสมบัติ ทาง ไฟฟ้า บาง ตัว ยัง มีค่า สูง   หรือ ต่ำ เกินไป   ดังที่ ได้ อธิบาย ไว้ ใน ตอนต้น แล้ว
1_39_64_4	เพื่อ ให้ได้ มอ ส เฟส ที่ มี คุณสมบัติ ทาง ไฟฟ้า ที่ ดี   และ เหมาะ สมใน การใช้งาน เป็น มอ ส เฟส กำลัง ต่อไป
1_39_66_1	คณะ ผู้วิจัย ขอ ขอบคุณ   ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   กระทรวง วิทยาศาสตร์ เทคโนโลยี และ สิ่งแวดล้อม   ที่ ได้ ให้ ความ สนับสนุน งบประมาณ ใน การวิจัย นี้   จน สำเร็จ ลุล่วง ด้วยดี
1_39_68_1	หนึ่ง   สม ชัย   วงษ์ เมตตา   สม เกียรติ   ศุภ เดช   การ ออกแบบ และ สร้าง มอ ส เฟส กำลัง ชนิด ดี มอ ส แบบ เอ็น แชนแนล   วารสาร การประชุม วิชาการ ทาง วิศวกรรมไฟฟ้า ของ   แปด   สถาบัน อุดมศึกษา   ครั้ง ที่ สิบ   พุทธศักราช สอง พัน ห้า ร้อย สามสิบ
1_39_7_1	ดี มอ ส เป็น ฟอ สเฟท แบบ หนึ่ง   ที่ มี โครงสร้าง เป็น ส่วนผสม ของ มอ สเฟท   กับ ไบ โพ ล่า ร์ ทรานซิสเตอร์ เข้าด้วยกัน
1_39_7_2	จึง มี กระแส ไหล จาก ส่วน เด รน ไป ยัง ส่วน ซอส   ทั้ง ใน แนวดิ่ง และ แนวนอน
1_39_7_3	ลักษณะ โครงสร้าง ของดี มอ ส สามารถ ออกแบบ ให้ มี อัตรา ทน กระแส สูง สูง   ได้   เช่นเดียวกับ ไบ โพ ล่า ร์ ทรานซิสเตอร์
1_39_7_4	นอกจากนี้   โครงสร้าง ของดี มอ ส ยัง เป็น โครงสร้างพื้นฐาน ของ มอ ส เฟส กำลัง ทั่ว ทั่วไป
1_39_8_1	ใน รายงาน ฉบับ นี้ จะ ได้ กล่าวถึง   เทคโนโลยี ใน การ ออกแบบ กระบวนการ สร้าง   และ การพัฒนา มอ ส เฟส กำลัง ชนิด ดี มอ ส แบบ เอ็น แชนแนล
1_39_8_5	ข้อมูล ต่าง ต่าง   ที่ ได้ จาก การทดลอง เหล่านี้   จะ ถูก นำไปใช้ เพื่อ พิจารณา ใน การ ออกแบบ   และ ปรับปรุง กระบวนการ สร้าง มอ ส เฟส กำลัง แบ บดี มอ ส ต่อไป
1_3_3_1	กระทรวง วิทยาศาสตร์   เทคโนโลยี และ การ พลังงาน   ได้ เล็งเห็น ความสำคัญ ของ เทคโนโลยี อิเล็กทรอนิกส์   และ คอมพิวเตอร์   ซึ่ง มีบทบาท สำคัญ ต่อ การพัฒนา ประเทศ
1_40_7_1	ผลงานวิจัย   สาม   การ วิจัยและพัฒนา ต้นแบบ อุปกรณ์ ตรวจ รู้ และ อุปกรณ์ ขยาย สัญญาณ
1_41_3_1	จาก การ ที่ กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   เป็น แกนนำ ใน การ ดำเนินงาน ตาม แผน พัฒนา วิทยาศาสตร์ และ เทคโนโลยี   ของ แผน พัฒนา เศรษฐกิจ และ สังคม แห่งชาติ
1_41_4_1	ผม จึง มีความยินดี ต่อ ความสำเร็จ ใน การ ดำเนินงาน ของ ศูนย์   และ ผู้เกี่ยวข้อง ทุกท่าน ที่ ได้ มีส่วน ร่วมใน ความสำเร็จ ครั้งนี้
1_41_4_2	และ ขอ ขอบคุณ นักวิจัย ทุกท่าน ที่ ได้ เสียสละ ทั้ง แรงกาย แรงใจ และ สติปัญญา   เพื่อที่จะ ให้ ได้มา ซึ่ง ผลงานวิจัย ที่ มี คุณภาพ เผยแพร่ สู่ สาธารณชน
1_41_4_3	กระทรวง วิทยาศาสตร์   ขอ ยืนยัน ใน เจตนารมณ์ ที่จะ สนับสนุน ส่งเสริม งานวิจัย   และ พัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์ อย่างเต็มที่ และ ต่อเนื่อง สืบไป
1_42_3_1	การ ดำเนินงาน ของ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ใน ระยะเวลา ที่ผ่านมา นั้น   นับว่า ประสบความสำเร็จ ใน การ สนับสนุน งานวิจัย   และ พัฒนา ที่ ก่อให้เกิด ประโยชน์ ต่อ การพัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์
1_42_3_3	ความสำเร็จ ของ โครงการวิจัย ต่าง ต่าง   ที่ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ได้ ให้การ สนับสนุน   จึง ถือเป็น ความก้าวหน้า ของ การวิจัย   และ พัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์ ที่อยู่ ใน ระดับ น่าพอใจ
1_42_3_5	ส่งผล ให้ ผลงาน หรือ ต้นแบบ จาก งานวิจัย   ที่ นำ ไป ผลิต ใน ระบบ อุตสาหกรรม เป็นการ ลด การ นำเข้า ของ เทคโนโลยี จาก ต่างประเทศ
1_43_3_2	ประเทศมหาอำนาจ ทางอุตสาหกรรม และ ประเทศอุตสาหกรรม ใหม่   ได้ พยายาม เร่งรัด พัฒนา เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์   เพื่อ แข่งขัน ใน ตลาดโลก
1_43_3_5	โดย ได้ ส่งเสริม และ สนับสนุน งานวิจัย   และ พัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์   ที่ มุ่ง ไป สู่ การผลิต ทางอุตสาหกรรม อย่างเต็มที่   เพื่อให้ แข่งขัน กับ ต่างประเทศ ได้
1_43_4_4	โดย ได้ ฝึกอบรม และ บริการ เทคโนโลยี การ ออกแบบ ด้วย คอมพิวเตอร์ ใน ระดับ พื้นฐาน   ระดับ กลาง   และ ระดับสูง แก่ บุคลากร ของ มหาวิทยาลัย   กระทรวง วิทยาศาสตร์   และ หน่วยงาน อื่น ที่ เกี่ยวข้อง ทั้ง ภาครัฐ และ ภาคเอกชน ไป แล้ว จำนวน หลาย รุ่น
1_43_5_1	เป้าหมาย ใน การ ดำเนินงาน ของ ศูนย์   ใน ระยะยาว ต่อไป นั้น   จะ ให้การ สนับสนุน งาน วิจัยและพัฒนา ที่ ก่อให้เกิด ศักยภาพ ทาง ด้าน อิเล็กทรอนิกส์   และ คอมพิวเตอร์ มากขึ้น
1_43_5_3	และ ที่ สำคัญ คือ ส่งเสริม และ สนับสนุน ภาคเอกชน ให้ เข้าร่วม การวิจัย ให้ มากยิ่งขึ้น
1_46_4_1	แปด นาฬิกา สี่ สิบห้า นาที ถึง เก้า นาฬิกา   พิธี เปิด   โดย   พะ นะ ท่าน   รัฐมนตรี ว่าการ กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน
1_47_11_3	นอกจากนี้   ยังมี นักวิจัย จาก มหาวิทยาลัย และ ผู้ประกอบการ จาก ภาคเอกชน มา ทำงาน ร่วมกัน   ใน ลักษณะ ของ คณะกรรมการ ด้าน วิจัยและพัฒนา   ตาราง ที่สาม   และ   สี่
1_47_27_2	และ มี หน่วย วิจัย และ บริการ   ดัง แสดง ใน ตาราง ที่หก
1_47_29_1	โครงการ วิจัยและพัฒนา   ที่ นักวิจัย เสนอ เข้าร่วม ทำ โครงการ   จะ ดำเนินงาน เป็น ขั้นตอน เพื่อให้ ได้มา ซึ่ง ประโยชน์ สูงสุด และ มีประสิทธิภาพ   ดัง แสดง ใน รูป ที่สอง
1_47_31_1	จาก การ สนับสนุน โครงการวิจัย ประมาณ   ห้าสิบ ถึง หกสิบ   โครงการ ย่อย ภายใต้   สิบสอง   โครงการ หลัก   ตั้งแต่ ปีงบประมาณ   สอง พัน ห้า ร้อย ยี่สิบ เก้า   มา จนถึง งบประมาณ   สอง พัน ห้า ร้อย สาม สิบสอง   มี ผลงาน ออกมา ปรากฎ หลาย โครงการ
1_47_43_6	เพื่อ ผลักดัน ให้ เงินทุน จาก รัฐบาล ที่จะ ให้ แก่ โครงการ ต่าง ต่าง   มีผล ตอบสนอง ทางเศรษฐกิจ ที่สูง ขึ้น
1_47_44_5	ส่วน ใน ระยะยาว ได้ มี ความพยายาม ของ กระทรวง ที่ เสนอ   พอ รอ บอ   วิทยาศาสตร์ และ เทคโนโลยี   เพื่อให้ นักวิจัย ของ กระทรวง วิทยาศาสตร์   สามารถ มี ค่าตอบแทน ที่ ทัดเทียม กับ เอกชน
1_47_46_4	มี โครงการวิจัย หลาย โครงการ   ที่ นำไปสู่ การผลิต ใน ระบบ อุตสาหกรรม ตาม ความร่วมมือ   ใน ลักษณะ ไตรภาคี ที่ มี ภาคเอกชน ร่วมมือ ใน การวิจัย   และ พัฒนา อยู่ ด้วย เป็นสำคัญ
1_47_47_1	การ ดำเนินงาน ใน ลักษณะ ไตรภาคี   ที่ ศูนย์   ได้ ยึด ถือเป็น แกน ใน การ ปฏิบัติงาน นี้   เป็น แนวทาง ใหม่ ของ การวิจัย พัฒนา ในประเทศ
1_47_47_3	โดยเฉพาะ ด้าน บุคลากร และ กลไก ทางราชการ   ที่ ไม่ เอื้ออำนวย ให้ แก่ ความ คล่องตัว   เช่นเดียวกับ ประเทศมหาอำนาจ ทางอุตสาหกรรม   หรือ ประเทศอุตสาหกรรม ใหม่
1_47_47_4	ดังนั้น   งานวิจัย ขณะนี้ ก็ ต้อง อาศัย ความร่วมมือ จาก ทุกฝ่าย ที่ เกี่ยวข้อง   ประสานงาน ให้ เกิดผล ตาม เป้าหมาย ภายใต้ เงื่อนไข ใน ปัจจุบัน
1_47_48_1	ผลการดำเนินงาน ของ ศูนย์   ใน ปีงบประมาณ   สอง พัน ห้า ร้อย สาม สิบสอง   นักวิจัย ได้ เสนอ ผลงาน และ ต้นฉบับ จาก งาน วิจัยและพัฒนา ต่อ สาธารณชน   ใน การประชุม ทางวิชาการ   ครั้ง ที่สอง   ระหว่าง วันที่ สิบห้า   ถึง   สิบ หก   สิงหาคม   สอง พัน ห้า ร้อย สามสิบ สาม   นี้
1_47_6_1	โครงสร้าง   บทบาท   และ ผลงาน ใน ปีงบประมาณ   สอง พัน ห้า ร้อย สามสิบ   และ   สอง พัน ห้า ร้อย สาม สิบเอ็ด   ได้ เคย อธิบาย ไว้ แล้ว ใน การประชุม ทางวิชาการ ครั้ง ที่หนึ่ง
1_47_8_1	เพื่อ เป็น การทบทวน ความเข้าใจ ของ ทุกฝ่าย ที่ เกี่ยวข้อง   ทั้ง ภาครัฐบาล และ เอกชน ว่า ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   มี ความเป็นมา อย่างไร
1_47_9_1	ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ตั้งอยู่ ที่ ชั้น   หก   ของ อาคาร สำนักงานปลัดกระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   ถนน พระรามหก   พญาไท   กรุงเทพ   หนึ่ง ศูนย์ สี่ ศูนย์ ศูนย์   ตาราง ที่หนึ่ง
1_48_8_3	รองศาสตราจารย์ ดอกเตอร์   ชม   กิ้ม ปาน
1_49_22_7	แต่ ในที่นี้   ฐานข้อมูล   หมายถึง   การ รวบรวม ข้อมูล   และ ใช้ คอมพิวเตอร์ เป็น อุปกรณ์ ใน การ บันทึก   สืบค้น   และ ผลิต ข้อมูล เหล่านั้น
1_49_23_1	โครงการ สารนิเทศ ห้องสมุด   เป็น โครงการ ย่อย ใน โครงการ เครือข่าย คอมพิวเตอร์   ซึ่ง เป็น โครงการ ร่วมกัน ระหว่าง ห้องสมุด ของ สถาบัน อุดมศึกษา   สิบเอ็ด   สถาบัน   ได้แก่   มหาวิทยาลัยมหิดล   จุฬาลงกรณ์ มหาวิทยาลัย   มหาวิทยาลัยเกษตรศาสตร์   มหาวิทยาลัยขอนแก่น   มหาวิทยาลัยเชียงใหม่   มหาวิทยาลัยศิลปากร   มหาวิทยาลัยสงขลานครินทร์   มหาวิทยาลัยสุโขทัยธรรมาธิราช   สถาบัน เทคโนโลยี พระ จอมเกล้า พระนครเหนือ   สถาบัน เทคโนโลยี พระ จอมเกล้า เจ้าคุณ ทหาร ลาดกระบัง   และ สถาบัน เทคโนโลยี พระ จอมเกล้า ธนบุรี
1_49_23_3	สำหรับ การ วิจัยและพัฒนา ฐานข้อมูล บรรณานุกรม   สาขา วิทยาศาสตร์ และ เทคโนโลยี   และ สาขาวิชา ที่ เกี่ยวข้อง   เป็น เงิน   หก แสน เจ็ด หมื่น ห้า พัน บาท ถ้วน
1_49_25_4	เพื่อให้ ผู้ใช้ สารนิเทศ ด้าน วิทยาศาสตร์ และ เทคโนโลยี   หมายถึง   ผู้บริหารระดับสูง   นักวิทยาศาสตร์   และ ผู้ประกอบการ อุตสาหกรรม   นักศึกษา และ บุคคล ทั่วไป สามารถ ค้นคว้า   และ ใช้ บริการ สารนิเทศ   จาก ทรัพยากร ห้องสมุด ของ สถาบัน อุดมศึกษา ร่วม โครงการ   ได้ อย่าง สะดวก ตรง ตาม ความต้องการ ได้ ใน เวลา อัน รวดเร็ว
